field_source_collection,field_source_collection_id,field_source_repository,field_source_citation,field_related_title_part_of,Status,mods_relatedItem_host_titleInfo_title_ms,mods_relatedItem_host_originInfo_dateCreated_ms,mods_relatedItem_host_identifier_ms,mods_relatedItem_host_identifier_local-asc_ms,mods_relatedItem_host_note_prefercite_ms,mods_relatedItem_note_prefercite_ms
"Allegheny Observatory Records, 1850-1977",UA.5.1,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Allegheny Observatory Records, 1850-1977, UA.5.1, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Allegheny Observatory Records\, 1850-1967\, UA.5.1\, University of Pittsburgh Archives",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784724,,,
"Daniel Brodhead Papers, 1779-1781",DAR.1925.04,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Daniel Brodhead Papers, 1779-1781, DAR.1925.04, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Daniel Brodhead Papers\, 1779-1781\, DAR.1925.04\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"Aerial Photographs of Pittsburgh Collection, ca. 1923-1937",AIS.1988.06,"Archives & Special Collections, University of Pittsburgh Library System","Aerial Photographs of Pittsburgh Collection, ca. 1923-1937, AIS.1988.06, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Aerial Photographs of Pittsburgh Collection\, c. 1923-1937\, AIS.1988.06\, Archives Service Center\, University of Pittsburgh",
"Otto's Suburban Dairy Photographs, 1928-1968",MSP 473,"Detre Library & Archives, Heinz History Center","Otto's Suburban Dairy Photographs, 1928-1968, MSP 473, Detre Library & Archives, Heinz History Center",,,,,,,"Otto’s Suburban Dairy\, Photographs\, 1928-1968 (bulk 1932-1955)\, MSP #473\, Library & Archives\, Senator John Heinz History Center",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784666,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784831,,,
"Pittsburgh City Photographer Collection, 1901-2002",AIS.1971.05,"Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh City Photographer Collection, 1901-2002, AIS.1971.05, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Pittsburgh City Photographer Collection\, 1901-2002\, AIS.1971.05\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784419,,,
"Pittsburgh, Fort Wayne, and Chicago Railway Photographs, 1903-1924",PSS 28,"Detre Library & Archives, Heinz History Center","Pittsburgh, Fort Wayne, and Chicago Railway Photographs, 1903-1924, PSS 28, Detre Library & Archives, Heinz History Center",,,,,,,"Pittsburgh\, Fort Wayne\, and Chicago Railway\, Photographs\, 1903-1924\, PSS #28\, Library & Archives\, Senator John Heinz History Center",
,,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",Audubon's Birds of America,complete,,,,,"Audubon's Birds of America\, Archives Service Center\, University of Pittsburgh",
"Thomas Mellon and William B. Negley Day Book, 1853-1860",DAR.1968.02,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Thomas Mellon and William B. Negley Day Book, 1853-1860, DAR.1968.02, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Thomas Mellon and William B. Negley Day Book\, 1853-1860\, DAR.1968.02\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"Tax-book of Pitt Township, Allegheny County, Pennsylvania, 1795-1798",DAR.1941.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Tax-book of Pitt Township, Allegheny County, Pennsylvania, 1795-1798, DAR.1941.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Tax-book of Pitt Township\, Allegheny County\, Pennsylvania\, 1795-1798\, DAR.1941.01\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"Bruno De Finetti Papers, 1924-2000",ASP.1992.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Bruno De Finetti Papers, 1924-2000, ASP.1992.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Bruno de Finetti Papers\, 1924-2000\, ASP.1992.01\, Archives of Scientific Philosophy\, Special Collections Department\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784492,,,
"Lyon, Shorb & Company Photographs, ca. 1863-1867",PSS 6,"Detre Library & Archives, Heinz History Center","Lyon, Shorb & Company Photographs, ca. 1863-1867, PSS 6, Detre Library & Archives, Heinz History Center",,,,,,,"Lyon\, Shorb & Company\, Photographs\, ca. 1863-1867\, PSS #0006\, Library & Archives\, Senator John Heinz History Center",
"Wesley C. Salmon Papers, 1950-2001",ASP.2003.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Wesley C. Salmon Papers, 1950-2001, ASP.2003.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Wesley C. Salmon Papers\, 1950-2001\, ASP.2003.01\, Archives of Scientific Philosophy\, Special Collections\, University of Pittsburgh.",
"Ken Kobus Photograph Collection, 1980-1990",AIS.2006.18,"Archives & Special Collections, University of Pittsburgh Library System","Ken Kobus Photograph Collection, 1980-1990, AIS.2006.18, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Ken Kobus Photograph Collection\, ca. 1980-1990s\, AIS.2006.18\, Archives Service Center\, University of Pittsburgh",
"Pittsburgh Railways Company Records, 1872-1974",AIS.1974.29,"Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh Railways Company Records, 1872-1974, AIS.1974.29, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Pittsburgh Railways Company Records\, 1872-1974\, AIS.1974.29\, Archives Service Center\, University of Pittsburgh",
"Rust Engineering Company Records, 1905-1989",AIS.2006.06,"Archives & Special Collections, University of Pittsburgh Library System","Rust Engineering Company Records, 1905-1989, AIS.2006.06, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Rust Engineering Company Records\, 1905-1989\, AIS.2006.06\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784765,,,
"Conference Between the Six Nations and the Quakers Minutes, 1756",DAR.1925.10,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Conference Between the Six Nations and the Quakers Minutes, 1756, DAR.1925.10, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Conference Between the Six Nations of the Quakers Minutes\, 1756\, DAR.1925.10\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
Nietz American Schoolbook Collection,,"Archives & Special Collections, University of Pittsburgh Library System","Nietz American Schoolbook Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Nietz American Schoolbook Collection\, Special Collections Department\, University of Pittsburgh",
"Ramón Gómez de la Serna Papers, 1906-1967",SC.1967.04,"Archives & Special Collections, University of Pittsburgh Library System","Ramón Gómez de la Serna Papers, 1906-1967, SC.1967.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Ramón Gómez de la Serna Papers\, 1906-1967\, SC.1967.04\, Special Collections Department\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784823,,,
"National Council of Jewish Women, Pittsburgh Section Records, 1894-2011",AIS.1964.40,"Archives & Special Collections, University of Pittsburgh Library System","National Council of Jewish Women, Pittsburgh Section Records, 1894-2011, AIS.1964.40, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"National Council of Jewish Women\, Pittsburgh Section Papers\, 1894-2011\, AIS.1964.40\, Archives Service Center\, University of Pittsburgh",
"James Veech Copybook of the General William Irvine Papers, 1778-1822",DAR.1925.11,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","James Veech Copybook of the General William Irvine Papers, 1778-1822, DAR.1925.11, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"James Veech Copybook of the General William Irvine Papers\, 1778-1822\, DAR.1925.11\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
